project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,gazetteer_adm_code,planet,continent,country,loc1,loc2,location_class,geographic_exactness,project_title.x,ad_sector_names,project_title.y,status
P053578,P053578_1477494,3,1477494,Pirojpur,22.53671,90.00033,ADM2,second-order administrative division,6295630|6255147|BD|85|1477494,Earth,Asia,Bangladesh,Barisal Division,Pirojpur,1,1,Social Investment Program Project,"Education, level unspecified|Communications|Transport and storage|Other social infrastructure and services",Social Investment Program Project,Completion
P074966,P074966_1337175,3,1337175,Gazipur,25.25,89.5,ADM2,second-order administrative division,6295630|6255147|BD|81|1337175,Earth,Asia,Bangladesh,Dhaka Division,Gazipur,1,1,Bangladesh - Primary Education Development Project II,"Government and civil society, general|Basic education",Bangladesh - Primary Education Development Project II,Completion
P074966,P074966_1337176,3,1337176,Kishoregonj,24.41667,90.95,ADM2,second-order administrative division,6295630|6255147|BD|81|1337176,Earth,Asia,Bangladesh,Dhaka Division,Kishoregonj,1,1,Bangladesh - Primary Education Development Project II,"Government and civil society, general|Basic education",Bangladesh - Primary Education Development Project II,Completion
P074966,P074966_1337167,3,1337167,Natore,24.35,89.08333,ADM2,second-order administrative division,6295630|6255147|BD|83|1337167,Earth,Asia,Bangladesh,Rājshāhi Division,Natore,1,1,Bangladesh - Primary Education Development Project II,"Government and civil society, general|Basic education",Bangladesh - Primary Education Development Project II,Completion
P124514,P124514_1337175,3,1337175,Gazipur,25.25,89.5,ADM2,second-order administrative division,6295630|6255147|BD|81|1337175,Earth,Asia,Bangladesh,Dhaka Division,Gazipur,1,1,Bangladesh Local Governance Support Project II,"Government and civil society, general",Bangladesh Local Governance Support Project II,Implementation
P124514,P124514_1337176,3,1337176,Kishoregonj,24.41667,90.95,ADM2,second-order administrative division,6295630|6255147|BD|81|1337176,Earth,Asia,Bangladesh,Dhaka Division,Kishoregonj,1,1,Bangladesh Local Governance Support Project II,"Government and civil society, general",Bangladesh Local Governance Support Project II,Implementation
P124514,P124514_1337167,3,1337167,Natore,24.35,89.08333,ADM2,second-order administrative division,6295630|6255147|BD|83|1337167,Earth,Asia,Bangladesh,Rājshāhi Division,Natore,1,1,Bangladesh Local Governance Support Project II,"Government and civil society, general",Bangladesh Local Governance Support Project II,Implementation
P124514,P124514_1477494,3,1477494,Pirojpur,22.53671,90.00033,ADM2,second-order administrative division,6295630|6255147|BD|85|1477494,Earth,Asia,Bangladesh,Barisal Division,Pirojpur,1,1,Bangladesh Local Governance Support Project II,"Government and civil society, general",Bangladesh Local Governance Support Project II,Implementation
P040712,P040712_1337209,3,1337209,Bagerhat,22.4,89.75,ADM2,second-order administrative division,6295630|6255147|BD|82|1337209,Earth,Asia,Bangladesh,Khulna Division,Bagerhat,1,1,Water Management Improvement Project,"Agriculture|General environmental protection|Government and civil society, general",Water Management Improvement Project,Implementation
P040712,P040712_1337164,3,1337164,Chapai Nababganj,24.68333,88.25,ADM2,second-order administrative division,6295630|6255147|BD|83|1337164,Earth,Asia,Bangladesh,Rājshāhi Division,Chapai Nababganj,1,1,Water Management Improvement Project,"Agriculture|General environmental protection|Government and civil society, general",Water Management Improvement Project,Implementation
