geoid,total,inc_under_25k,per_under_25k
17031010100,3653,2071,0.5669312893512182
17031010201,5697,3544,0.6220817974372477
17031010202,1929,1247,0.6464489372731985
17031010300,5454,2864,0.5251191785845252
17031010400,4926,3337,0.6774259033698742
17031010501,3466,1985,0.5727062896710906
17031010502,2815,1780,0.6323268206039077
17031010503,1957,1275,0.6515074092999489
17031010600,5629,2929,0.5203410907798899
17031010701,3036,1580,0.5204216073781291
17031010702,4197,2719,0.6478436978794377
17031020100,3167,1945,0.6141458793811178
17031020200,5132,2893,0.563717848791894
17031020301,4014,2020,0.5032386646736422
17031020302,4022,2032,0.5052212829438091
17031020400,3565,1818,0.5099579242636746
17031020500,4806,3337,0.6943404078235539
17031020601,4685,2888,0.616435432230523
17031020602,3331,2226,0.6682677874512158
17031020701,1340,647,0.4828358208955224
17031020702,6081,3635,0.5977635257358987
17031020801,4367,2235,0.5117929929013052
17031020802,5855,3595,0.61400512382579
17031020901,4012,2473,0.6164007976071785
17031020902,3465,2201,0.6352092352092352
17031030101,3376,1618,0.4792654028436019
17031030102,2804,1266,0.4514978601997147
17031030103,2217,1335,0.6021650879566982
17031030104,3439,2588,0.7525443442861297
17031030200,4671,2247,0.481053307642903
17031030300,2752,1668,0.6061046511627907
17031030400,2181,1116,0.5116918844566712
17031030500,5434,1840,0.33860875966139126
17031030601,3571,1988,0.556706804816578
17031030603,1670,888,0.5317365269461077
17031030604,2747,1462,0.5322169639606844
17031030701,1485,797,0.5367003367003367
17031030702,1521,623,0.4095989480604865
17031030703,2585,1166,0.451063829787234
17031030706,3258,1484,0.4554941682013505
17031030800,3789,1582,0.41752441277381896
17031030900,2733,952,0.3483351628247347
17031031000,3489,1069,0.30639151619375177
17031031100,4100,1596,0.38926829268292684
17031031200,4951,3069,0.6198747727731772
17031031300,6890,3753,0.5447024673439768
17031031400,4838,1582,0.3269946258784622
17031031501,3425,2339,0.6829197080291971
17031031502,3567,2333,0.6540510232688533
17031031700,6090,3113,0.5111658456486042
17031031800,1544,603,0.3905440414507772
17031031900,2106,793,0.3765432098765432
17031032100,6229,2572,0.41290736875903034
17031040100,3379,1481,0.4382953536549275
17031040201,5776,2470,0.4276315789473684
17031040202,6016,3647,0.606216755319149
17031040300,2575,1175,0.4563106796116505
17031040401,2653,1069,0.4029400678477196
17031040402,4128,1103,0.26719961240310075
17031040600,2144,772,0.36007462686567165
17031040700,2938,1148,0.3907420013614704
17031040800,1564,530,0.3388746803069054
17031040900,1866,609,0.32636655948553056
17031050100,2196,709,0.32285974499089254
17031050200,3885,1288,0.33153153153153153
17031050300,2084,753,0.3613243761996161
17031050500,4640,1226,0.2642241379310345
17031050600,1903,453,0.23804519180241723
17031050700,1358,331,0.24374079528718703
17031050800,1111,283,0.25472547254725475
17031050900,1115,363,0.3255605381165919
17031051000,1329,366,0.27539503386004516
17031051100,1190,302,0.253781512605042
17031051200,1283,364,0.2837100545596259
17031051300,2068,401,0.19390715667311412
17031051400,1510,582,0.38543046357615895
17031060100,2161,437,0.2022211938917168
17031060200,1957,762,0.3893714869698518
17031060300,2570,559,0.21750972762645915
17031060400,3187,912,0.28616253529965485
17031060500,1132,546,0.4823321554770318
17031060800,4674,1155,0.24711168164313221
17031060900,6579,2e3,0.3039975680194558
17031061000,1777,407,0.22903770399549803
17031061100,1408,394,0.27982954545454547
17031061200,1815,440,0.24242424242424243
17031061500,1627,362,0.22249539028887522
17031061800,1149,448,0.38990426457789384
17031061901,3538,965,0.27275296777840585
17031061902,4133,1281,0.30994435035083473
17031062000,2802,618,0.22055674518201285
17031062100,3429,1087,0.31700204141149024
17031062200,2536,517,0.20386435331230285
17031062300,1391,265,0.19051042415528396
17031062400,1238,221,0.17851373182552505
17031062500,1284,234,0.1822429906542056
17031062600,1788,512,0.28635346756152125
17031062700,2349,690,0.2937420178799489
17031062800,3201,583,0.18213058419243985
17031062900,3528,699,0.19812925170068027
17031063000,2942,742,0.2522093813732155
17031063100,2135,427,0.2
17031063200,6700,2343,0.3497014925373134
17031063301,2496,969,0.38822115384615385
17031063302,4108,865,0.21056475170399222
17031063303,1266,249,0.1966824644549763
17031063400,1976,417,0.21103238866396762
17031070101,3418,767,0.22440023405500292
17031070102,2683,711,0.26500186358553857
17031070103,1460,465,0.3184931506849315
17031070200,3555,1079,0.30351617440225037
17031070300,3160,922,0.2917721518987342
17031070400,3003,1104,0.3676323676323676
17031070500,2741,752,0.27435242612185334
17031070600,2643,695,0.26295875898600074
17031070700,3385,1043,0.3081240768094535
17031071000,3787,2385,0.6297861103776076
17031071100,2571,1189,0.46246596654998057
17031071200,1744,587,0.33658256880733944
17031071300,3212,1098,0.34184308841843086
17031071400,4393,1294,0.29455952651946277
17031071500,5525,890,0.16108597285067874
17031071600,1325,449,0.3388679245283019
17031071700,1495,349,0.2334448160535117
17031071800,2285,757,0.3312910284463895
17031080100,6379,1356,0.21257250352719861
17031080201,3190,686,0.21504702194357367
17031080202,3294,719,0.2182756527018822
17031080300,4189,721,0.1721174504655049
17031080400,2918,1486,0.5092529129540782
17031081000,7205,3870,0.5371269951422624
17031081100,3692,1339,0.3626760563380282
17031081201,4248,1224,0.288135593220339
17031081202,2835,675,0.23809523809523808
17031081300,4971,1624,0.32669483001408167
17031081401,2158,775,0.35912882298424464
17031081402,4465,1294,0.28980963045912655
17031081403,7087,1685,0.2377592775504445
17031081500,4711,1319,0.2799830184674167
17031081600,3505,810,0.23109843081312412
17031081700,3225,653,0.20248062015503876
17031081800,7656,1311,0.17123824451410657
17031081900,880,350,0.3977272727272727
17031090100,2716,993,0.36561119293078054
17031090200,5426,1763,0.32491706597862147
17031090300,1030,405,0.3932038834951456
17031100100,4174,1912,0.4580737901293723
17031100200,5573,2469,0.44302888928763684
17031100300,5283,2653,0.5021767934885482
17031100400,2338,837,0.35799828913601367
17031100500,4597,1807,0.3930824450728736
17031100600,4049,1859,0.45912571005186464
17031100700,3905,1663,0.4258642765685019
17031110100,4227,2057,0.4866335462502957
17031110200,2506,1252,0.49960095770151636
17031110300,4511,2123,0.47062735535358013
17031110400,3940,1922,0.48781725888324873
17031110501,4311,1979,0.4590582231500812
17031110502,2840,1365,0.48063380281690143
17031120100,2934,937,0.31935923653715065
17031120200,3588,1350,0.3762541806020067
17031120300,5191,1904,0.3667886727027548
17031120400,2762,1406,0.5090514120202752
17031130100,4475,2829,0.6321787709497206
17031130200,1329,516,0.38826185101580135
17031130300,4562,2584,0.5664182376150811
17031140100,2656,1833,0.6901355421686747
17031140200,5305,3554,0.6699340245051838
17031140301,2100,1455,0.6928571428571428
17031140302,3347,1830,0.5467582910068718
17031140400,5727,3132,0.5468831849135674
17031140500,3299,1851,0.561079114883298
17031140601,2322,1510,0.6503014642549526
17031140602,4264,2655,0.6226547842401501
17031140701,2172,1115,0.5133517495395948
17031140702,4714,2603,0.5521849809079338
17031140800,5673,2656,0.46818261942534817
17031150200,6601,3245,0.49159218300257534
17031150300,6707,3059,0.45609065155807366
17031150401,4065,2114,0.5200492004920049
17031150402,2979,1620,0.5438066465256798
17031150501,3431,1745,0.5085980763625765
17031150502,3327,1847,0.5551547941088067
17031150600,3169,1599,0.5045755758914484
17031150700,3522,1665,0.4727427597955707
17031150800,4256,2412,0.5667293233082706
17031151001,2040,1197,0.586764705882353
17031151002,3510,1830,0.5213675213675214
17031151100,4468,2656,0.594449418084154
17031151200,2992,1708,0.570855614973262
17031160100,2112,1126,0.5331439393939394
17031160200,2620,1270,0.4847328244274809
17031160300,3404,1722,0.5058754406580493
17031160400,3868,2155,0.5571354705274043
17031160501,3118,1876,0.6016677357280308
17031160502,3212,1817,0.5656911581569116
17031160601,3365,1681,0.49955423476968797
17031160602,3176,1642,0.5170025188916877
17031160700,5168,2468,0.4775541795665635
17031160800,4352,1984,0.45588235294117646
17031160900,2037,905,0.44428080510554735
17031161000,1511,563,0.37260092653871607
17031161100,1435,448,0.3121951219512195
17031161200,2404,1346,0.559900166389351
17031161300,3221,2028,0.6296181310152127
17031170100,1775,980,0.5521126760563381
17031170200,3337,1794,0.5376086305064429
17031170300,4092,2111,0.5158846529814272
17031170400,3190,1687,0.5288401253918495
17031170500,4421,2035,0.46030309884641485
17031170600,2250,1094,0.4862222222222222
17031170700,2474,1266,0.5117219078415521
17031170800,3222,1643,0.5099317194289261
17031170900,1488,786,0.5282258064516129
17031171000,6492,3343,0.5149414664202094
17031171100,3140,1179,0.37547770700636945
17031180100,4647,2418,0.5203357004519045
17031190100,1979,1408,0.7114704396159677
17031190200,4062,2453,0.603889709502708
17031190300,4248,2534,0.5965160075329566
17031190401,3049,1780,0.5837979665464087
17031190402,3913,2238,0.571939688218758
17031190601,3411,2142,0.6279683377308707
17031190602,4612,2922,0.6335646140503035
17031190701,2103,1363,0.6481217308606753
17031190702,3793,2637,0.6952280516741366
17031190800,5165,3469,0.6716360116166505
17031190900,1582,981,0.6201011378002529
17031191000,2012,1299,0.6456262425447317
17031191100,5806,4122,0.7099552187392353
17031191200,2660,1904,0.7157894736842105
17031191301,4341,2796,0.6440912232204561
17031191302,3918,2644,0.6748340990301174
17031200100,3599,2145,0.5959988885801611
17031200200,3966,2799,0.705748865355522
17031200300,1666,1132,0.6794717887154862
17031200401,2742,1953,0.712253829321663
17031200402,3255,2167,0.6657450076804915
