serial,year,asecwt,nchild,ftotval
1,2022,2553.13,0,44220
5,2022,1586.8,0,82752
6,2022,1492.59,0,60001
9,2022,897.61,3,123814
10,2022,2031.43,0,31184
11,2022,1986.75,0,0
12,2022,1978.23,0,19783
13,2022,1098.5,2,72370
15,2022,2334.27,0,44000
17,2022,1978.23,0,400
19,2022,2088.12,0,29110
23,2022,2593.24,0,201820
29,2022,999.48,3,113003
34,2022,1434.51,0,31182
52,2022,1626.86,2,78152
53,2022,1428.38,2,142458
54,2022,1086.67,0,37500
55,2022,1574.73,0,90950
56,2022,1586.23,0,40720
63,2022,1578.8,0,14544
67,2022,1367.74,0,63827
73,2022,2150.79,0,114809
74,2022,1885.28,0,14287
76,2022,1972.75,0,32289
77,2022,1521.62,0,50608
79,2022,1361.18,0,49451
80,2022,1563.36,0,383749
81,2022,1667.88,0,18354
83,2022,1895.99,0,102979
84,2022,2519.22,0,45625
85,2022,2183.01,0,22056
86,2022,1586.23,0,95664
88,2022,1972.75,0,82382
89,2022,1140.27,2,46901
90,2022,1367.74,0,18666
92,2022,2591.62,0,102101
94,2022,2031.43,0,60625
95,2022,1406.35,2,129294
97,2022,2094.68,0,18002
101,2022,1589.69,0,177017
102,2022,992.1,2,37201
117,2022,1214.2,1,108317
118,2022,865.36,4,1552
119,2022,1555.54,0,27906
130,2022,2090,0,36484
132,2022,1770.1,0,18683
134,2022,1621.39,0,137744
135,2022,2364,0,30000
137,2022,1387.86,0,16392
138,2022,2208.99,0,29767
139,2022,2148.12,0,17042
140,2022,1781.13,0,33298
141,2022,2106.14,0,106560
142,2022,1697.12,0,19228
144,2022,1696.34,0,90464
145,2022,1625.89,0,73142
147,2022,1697.12,0,87406
149,2022,866.99,2,106735
152,2022,1981.24,0,67497
155,2022,1598.93,0,20184
159,2022,1098.5,3,1
160,2022,1537.25,0,11382
171,2022,1678.35,0,162204
172,2022,1554.68,0,30604
179,2022,1602.32,2,115555
180,2022,1681.81,0,34023
182,2022,817.6,3,149802
183,2022,2111.11,0,312366
184,2022,1550.38,0,90291
186,2022,1567.71,1,25338
187,2022,1590.64,0,23898
188,2022,2075.6,1,186917
189,2022,1517.41,0,113800
193,2022,974.3,2,75152
201,2022,1766.83,0,105823
202,2022,817.6,2,160222
206,2022,1766.83,0,324808
220,2022,1138.72,1,38000
221,2022,995.96,1,28476
222,2022,903.67,1,109801
223,2022,2429.47,2,160407
224,2022,1550.38,0,40070
225,2022,1672.51,0,52560
226,2022,1677.67,1,56018
234,2022,2069.85,0,44031
235,2022,1586.23,1,47382
236,2022,1586.23,0,11263
237,2022,1002.18,0,19922
238,2022,1363.95,0,27169
252,2022,1745.55,0,40010
258,2022,1761.93,0,27156
264,2022,2116.98,0,27084
265,2022,1567.71,0,248385
266,2022,1065.32,2,24034
268,2022,2105.29,0,22898
269,2022,978.98,2,31608
270,2022,1367.74,0,14400
271,2022,2044.54,0,29000
272,2022,1342.84,1,40000
279,2022,1367.74,0,32299
281,2022,1682.19,0,12000
284,2022,1673.02,0,183580
285,2022,996.71,2,69601
286,2022,1176.93,2,139384
287,2022,1598.93,0,16560
288,2022,1813.25,0,18501
289,2022,971.6,0,146026
293,2022,2156.77,0,242032
298,2022,1997.49,0,0
306,2022,1206.03,1,65028
311,2022,2199.76,1,40000
313,2022,1776.19,0,133143
314,2022,839.03,1,28363
315,2022,2125.49,0,27601
316,2022,1384.02,0,40765
317,2022,2112.97,0,57409
318,2022,2027.62,0,15400
320,2022,968.5,2,264146
321,2022,2055.6,0,58061
322,2022,809.32,2,111800
323,2022,1387.86,0,26982
326,2022,2182.44,0,38017
327,2022,2295.44,0,152043
328,2022,1590.77,0,111315
331,2022,2007.33,0,90940
332,2022,1815.4,0,9540
333,2022,1706.55,0,29673
334,2022,2022,0,72504
336,2022,2136.26,0,104412
339,2022,1590.77,0,58058
340,2022,1923.89,0,36001
342,2022,1387.86,0,17622
343,2022,1387.86,0,26983
346,2022,1605.43,1,22227
349,2022,2342.25,0,68002
353,2022,1659.96,0,153097
356,2022,867.71,1,250324
359,2022,1263.92,0,196105
360,2022,1217.8,2,186254
362,2022,1301.69,1,94273
363,2022,599.01,1,144391
364,2022,1139.94,3,75200
365,2022,927.72,2,80508
366,2022,820.59,2,137661
367,2022,1411.93,0,35383
368,2022,1151.97,0,57942
369,2022,1349.54,0,54896
370,2022,1527.19,0,156409
375,2022,1333.42,0,25361
376,2022,1040.26,1,256645
377,2022,2648.65,0,16300
378,2022,1349.3,0,36123
385,2022,1309.42,0,71666
387,2022,806.12,1,49521
389,2022,1593.47,0,70001
390,2022,1960.58,0,440820
391,2022,1329.73,0,32000
393,2022,1668.68,0,126906
394,2022,1474.29,0,97036
395,2022,822.53,0,40010
396,2022,1349.54,0,127648
398,2022,1416.49,0,43146
400,2022,801.42,1,59058
405,2022,932.61,3,16478
406,2022,1710.95,0,18302
407,2022,1950.5,1,43100
408,2022,1538.61,2,230491
410,2022,1825.86,0,44160
411,2022,1336.47,0,16700
412,2022,2491.63,0,0
413,2022,688.61,2,110212
414,2022,1488.09,0,63067
415,2022,1110.46,2,7500
416,2022,1040.26,4,579998
417,2022,1335.99,2,11182
418,2022,1316.73,0,147854
419,2022,1950.5,1,104085
420,2022,1483.97,0,56073
422,2022,1345.8,0,75414
423,2022,1294.73,0,148900
425,2022,1381.65,1,100214
440,2022,898.33,2,133560
446,2022,1549.78,0,27534
447,2022,1454.55,0,61002
448,2022,764.4,1,158054
449,2022,1592.46,0,41183
450,2022,1412.88,0,60600
451,2022,1416.49,0,21730
452,2022,1320.39,0,150985
453,2022,1338.9,0,92370
454,2022,1474.29,1,93319
456,2022,1783.01,0,90031
458,2022,1666.14,0,56008
460,2022,1416.81,0,102492
461,2022,1587.86,0,28800
464,2022,1004.23,3,72005
465,2022,1488.09,0,20139
466,2022,862.53,1,28236
467,2022,1522.96,1,47906
468,2022,801.42,1,13106
470,2022,820.59,2,157936
471,2022,849.31,1,51200
472,2022,1127.86,1,31029
473,2022,1309.42,0,70189
474,2022,1915.27,1,59330
475,2022,1381.65,0,62044
476,2022,1595.58,0,30000
478,2022,841.8,1,70414
479,2022,1668.68,0,8100
480,2022,1592.46,1,55536
482,2022,1349.54,0,150985
484,2022,963.05,2,54526
489,2022,1134.76,2,56763
500,2022,762.66,2,60000
501,2022,866.77,1,91552
502,2022,704.23,2,65102
503,2022,748.61,3,208298
504,2022,750.91,3,121097
513,2022,1335.99,0,44882
516,2022,669.75,0,9282
525,2022,1829.3,0,7182
527,2022,1416.49,0,43574
529,2022,1666.14,0,151121
531,2022,912.8,1,86501
534,2022,1127.86,2,185503
535,2022,1184.49,1,152521
536,2022,802.05,0,74010
537,2022,1880.41,0,199406
539,2022,1151.97,1,99699
540,2022,1381.65,1,129745
542,2022,1309.42,0,31561
543,2022,1877.72,0,70000
544,2022,932.61,2,132000
545,2022,849.31,2,91030
547,2022,1668.68,0,250091
548,2022,1127.86,1,94222
549,2022,1677.7,1,38002
550,2022,1148.78,0,21809
551,2022,1305.79,0,91642
553,2022,1281.57,0,49426
554,2022,1416.49,0,141424
555,2022,1151.97,1,74707
556,2022,1666.14,0,51081
557,2022,1710.95,0,24088
558,2022,1335.99,0,26264
559,2022,1336.47,0,248654
560,2022,932.61,1,76060
561,2022,1721.99,0,123101
563,2022,1169.54,1,85328
567,2022,1474.29,0,245334
568,2022,1522.96,0,92102
569,2022,927.77,3,37800
570,2022,1353.05,0,177013
571,2022,671.76,4,97255
572,2022,1595.58,0,65712
574,2022,1148.78,0,41756
575,2022,2046.2,0,70613
576,2022,812.25,1,66211
577,2022,1148.78,0,78109
578,2022,1283.7,1,9200
579,2022,963.05,2,60005
580,2022,1506.84,0,285007
581,2022,1416.49,0,73984
582,2022,1816.52,0,112226
583,2022,1184.49,2,237121
584,2022,690.52,2,207029
585,2022,1131.62,1,315402
586,2022,1040.04,1,47035
588,2022,1833.53,0,65032
589,2022,963.05,2,66131
590,2022,1349.54,0,16549
591,2022,1621.73,0,191108
592,2022,1338.9,0,121334
593,2022,1538.61,0,123012
594,2022,945.68,3,47894
595,2022,851.67,1,260875
596,2022,1502.66,3,146501
599,2022,820.59,2,86703
600,2022,1506.84,0,44390
601,2022,1040.26,2,99205
602,2022,1488.09,0,14000
603,2022,1617.24,0,59011
604,2022,1506.84,0,71793
605,2022,1527.19,0,95309
607,2022,1778.07,0,184086
608,2022,1825.86,0,143533
609,2022,1710.95,0,69898
610,2022,963.05,2,70802
611,2022,1830.93,0,110384
612,2022,1502.66,0,165000
613,2022,1678.32,0,44183
614,2022,2325.88,0,40847
615,2022,803.88,1,64542
616,2022,1630.68,0,171000
619,2022,1291.15,2,123680
621,2022,818.32,2,184785
624,2022,700.19,2,0
625,2022,1187.78,3,89010
626,2022,745.93,1,17000
629,2022,1134.76,1,25000
633,2022,1717.22,0,6000
634,2022,976.5,1,127046
649,2022,1050.27,0,199001
650,2022,1144.36,1,172124
651,2022,857.48,2,262175
652,2022,1165.53,2,238340
653,2022,944.81,2,125098
655,2022,1036.24,1,113911
658,2022,803.76,4,70622
659,2022,844.9,2,187002
660,2022,1213.96,2,200215
661,2022,990.68,1,16080
662,2022,834.23,1,54031
663,2022,618.28,1,33486
664,2022,695.11,3,89000
665,2022,946.56,3,230914
666,2022,639.03,2,75000
667,2022,793.34,1,81250
668,2022,902.46,0,123135
669,2022,648.96,2,100002
670,2022,717.55,0,3687
671,2022,1106.43,2,273260
673,2022,1148.78,0,183076
