"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"P001807","P001807_7874471","3","7874471","Chemba District","-17.16474","34.88777","ADM2","second-order administrative division","6295630|6255146|MZ|05|7874471","Earth|Africa|Mozambique|Sofala Province|Chemba District","1","1"
"P001807","P001807_7874473","3","7874473","Maringué District","-17.96355","34.39219","ADM2","second-order administrative division","6295630|6255146|MZ|05|7874473","Earth|Africa|Mozambique|Sofala Province|Maringué District","1","1"
"P001807","P001807_7670756","3","7670756","Matutiune District","-26.43418","32.5882","ADM2","second-order administrative division","6295630|6255146|MZ|04|7670756","Earth|Africa|Mozambique|Maputo|Matutiune District","1","1"
"P001807","P001807_7873988","3","7873988","Nicodala District","-17.603","36.814","ADM2","second-order administrative division","6295630|6255146|MZ|09|7873988","Earth|Africa|Mozambique|Província de Zambézia|Nicodala District","1","1"
"P004397","P004397_8657190","3","8657190","Ijivitari","-9.33333","148.58333","ADM2","second-order administrative division","6295630|6255151|PG|04|8657190","Earth|Oceania|Papua New Guinea|Northern Province|Ijivitari","1","1"
"P040578","P040578_9165798","3","9165798","Kabupaten Halmahera Utara","1.73194","128.00778","ADM2","second-order administrative division","6295630|6255147|ID|29|9165798","Earth|Asia|Indonesia|Provinsi Maluku Utara|Kabupaten Halmahera Utara","1","1"
"P040578","P040578_1640342","3","1640342","Kota Kendari","-4.0206","122.5138","ADM2","second-order administrative division","6295630|6255147|ID|22|1640342","Earth|Asia|Indonesia|Sulawesi Tenggara|Kota Kendari","1","1"
"P040578","P040578_1636555","3","1636555","Kabupaten Mamuju","-2.2005","119.3861","ADM2","second-order administrative division","6295630|6255147|ID|41|1636555","Earth|Asia|Indonesia|Provinsi Sulawesi Barat|Kabupaten Mamuju","1","1"
"P040578","P040578_1639849","3","1639849","Kabupaten Klungkung","-8.73197","115.53921","ADM2","second-order administrative division","6295630|6255147|ID|02|1639849","Earth|Asia|Indonesia|Bali|Kabupaten Klungkung","1","1"
"P040578","P040578_6965895","3","6965895","Kabupaten Luwu","-2.5577","121.3242","ADM2","second-order administrative division","6295630|6255147|ID|38|6965895","Earth|Asia|Indonesia|South Sulawesi|Kabupaten Luwu","1","1"
"P044613","P044613_7869945","3","7869945","North Western Tigray","14.02038","38.1639","ADM2","second-order administrative division","6295630|6255146|ET|53|7869945","Earth|Africa|Ethiopia|Tigray|North Western Tigray","1","1"
"P049719","P049719_9192641","3","9192641","Chon-Alayskiy Rayon","39.47614","72.33018","ADM2","second-order administrative division","6295630|6255147|KG|08|9192641","Earth|Asia|Kyrgyzstan|Osh Oblasty|Chon-Alayskiy Rayon","1","1"
"P049719","P049719_8357767","3","8357767","Ysyk-Köl","42.70959","77.18344","ADM2","second-order administrative division","6295630|6255147|KG|07|8357767","Earth|Asia|Kyrgyzstan|Issyk-Kul’skaya Oblast’|Ysyk-Köl","1","1"
"P049719","P049719_10237012","3","10237012","Jeti-Oguz District","42.3396","78.0017","ADM2","second-order administrative division","6295630|6255147|KG|07|10237012","Earth|Asia|Kyrgyzstan|Issyk-Kul’skaya Oblast’|Jeti-Oguz District","1","1"
"P049719","P049719_10237161","3","10237161","Naryn District","41.43333","76.0","ADM2","second-order administrative division","6295630|6255147|KG|04|10237161","Earth|Asia|Kyrgyzstan|Naryn oblast|Naryn District","1","1"
"P049924","P049924_9155063","3","9155063","Cumanda","-2.2","-79.13333","ADM2","second-order administrative division","6295630|6255150|EC|06|9155063","Earth|South America|Ecuador|Provincia del Chimborazo|Cumanda","1","1"
"P050657","P050657_9072830","3","9072830","Dehradun","30.33","78.06","ADM2","second-order administrative division","6295630|6255147|IN|39|9072830","Earth|Asia|India|Uttarakhand|Dehradun","1","1"
"P050657","P050657_1271977","3","1271977","Faizābād","26.75","82.0","ADM2","second-order administrative division","6295630|6255147|IN|36|1271977","Earth|Asia|India|Uttar Pradesh|Faizābād","1","1"
"P050657","P050657_1270371","3","1270371","Hardoi district","27.41667","80.25","ADM2","second-order administrative division","6295630|6255147|IN|36|1270371","Earth|Asia|India|Uttar Pradesh|Hardoi district","1","1"
"P053578","P053578_1477494","3","1477494","Pirojpur","22.53671","90.00033","ADM2","second-order administrative division","6295630|6255147|BD|85|1477494","Earth|Asia|Bangladesh|Barisal Division|Pirojpur","1","1"
"P056200","P056200_6619048","3","6619048","Arvayheer","46.25893","102.77538","ADM2","second-order administrative division","6295630|6255147|MN|15|6619048","Earth|Asia|Mongolia|Övörhangay|Arvayheer","1","1"
"P056200","P056200_6619070","3","6619070","Bayan-Ovoo","46.28077","100.44868","ADM2","second-order administrative division","6295630|6255147|MN|02|6619070","Earth|Asia|Mongolia|Bayanhongor Aymag|Bayan-Ovoo","1","1"
"P056200","P056200_6619069","3","6619069","Bömbögör","46.20502","99.59879","ADM2","second-order administrative division","6295630|6255147|MN|02|6619069","Earth|Asia|Mongolia|Bayanhongor Aymag|Bömbögör","1","1"
"P056200","P056200_6619068","3","6619068","Buutsagaan","46.16152","98.69173","ADM2","second-order administrative division","6295630|6255147|MN|02|6619068","Earth|Asia|Mongolia|Bayanhongor Aymag|Buutsagaan","1","1"
