group2,group3,totbal,newtotbal,balchange
treatment,treatment,121.32,4.62,-116.69999694824219
control,marketing,125.19,0,-125.19000244140625
treatment,treatment,529.39,4139.34,3609.949951171875
control,marketing,101.8,105.94,4.139999866485596
control,control,118.04,0,-118.04000091552734
control,control,532.69,362.74,-169.9499969482422
treatment,treatment,598.41,2323.5,1725.0899658203125
treatment,treatment,548.72,373.13,-175.58999633789062
control,control,520.69,136.89,-383.79998779296875
control,control,2050.01,900.57,-1149.43994140625
treatment,treatment,411.1,154.38,-256.7200012207031
control,control,648.11,112.33,-535.780029296875
control,control,209.67,0,-209.6699981689453
control,marketing,573.2,360.91,-212.2899932861328
control,control,0,0,0
control,marketing,481.37,201.37,-280
control,marketing,120.64,127.73,7.090000152587891
treatment,treatment,250.75,261.58,10.829999923706055
treatment,treatment,1176.39,2081.37,904.97998046875
treatment,treatment,529.33,402.19,-127.13999938964844
control,marketing,1192.94,912.94,-280
control,control,465.97,185.97,-280
treatment,treatment,417.3,324.02,-93.279998779296875
control,control,2001.03,0,-2001.030029296875
treatment,treatment,310.51,0,-310.510009765625
treatment,treatment,322.2,42.2,-280
control,control,144.26,153.85,9.59000015258789
control,control,309.95,260.86,-49.09000015258789
control,control,461.34,181.34,-280
control,marketing,86.64,0,-86.63999938964844
treatment,treatment,514.28,1535.22,1020.9400024414062
treatment,treatment,103.22,0,-103.22000122070312
treatment,treatment,510.54,631.32,120.77999877929688
treatment,treatment,1095.8,0,-1095.800048828125
treatment,treatment,1285.82,326.01,-959.80999755859375
treatment,treatment,526.26,47.7,-478.55999755859375
control,control,526.82,548.27,21.450000762939453
control,marketing,121.52,0,-121.5199966430664
control,marketing,548.13,269.63,-278.5
treatment,treatment,510.49,127.56,-382.92999267578125
treatment,treatment,305.11,317.52,12.40999984741211
control,marketing,401.59,313.53,-88.05999755859375
treatment,treatment,540.16,305.96,-234.1999969482422
control,control,107.12,0,-107.12000274658203
control,control,210.39,202.51,-7.880000114440918
treatment,treatment,1262.94,527.55,-735.3900146484375
treatment,treatment,147.13,53.73,-93.4000015258789
treatment,treatment,118.95,123.79,4.840000152587891
treatment,treatment,500.48,667.47,166.99000549316406
treatment,treatment,532.69,462.74,-69.94999694824219
control,marketing,132.8,138.2,5.400000095367432
control,marketing,422.72,439.93,17.209999084472656
treatment,treatment,103.43,0,-103.43000030517578
treatment,treatment,1088.12,320.67,-767.45001220703125
control,control,110.84,118.39,7.550000190734863
treatment,treatment,513.08,10895.12,10382.0400390625
control,control,223.17,1822.04,1598.8699951171875
treatment,treatment,514.19,535.12,20.93000030517578
control,control,217.42,233.68,16.260000228881836
treatment,treatment,156.81419921875,0,-155.16000366210938
control,marketing,1074.89,1989.57,914.67999267578125
control,marketing,246.69,380.12,133.42999267578125
treatment,treatment,0,0,0
control,marketing,838.56,696.63,-141.92999267578125
treatment,treatment,389.29,321.91,-67.37999725341797
treatment,treatment,160.45,88.32,-72.12999725341797
treatment,treatment,531.31,382.75,-148.55999755859375
control,marketing,526.4,0,-526.4000244140625
treatment,treatment,496.69,216.69,-280
control,control,981.02,1034.36,53.34000015258789
control,control,460.91,180.91,-280
treatment,treatment,1004.71,724.71,-280
control,control,532.6,362.64,-169.9600067138672
control,control,1594.25,1314.25,-280
treatment,treatment,512.6,533.48,20.8799991607666
control,control,1043.47,111.65,-931.82000732421875
treatment,treatment,266.8,277.67,10.869999885559082
control,marketing,135.02,100.14,-34.880001068115234
control,control,2132.17,2218.99,86.81999969482422
control,control,100.93,105.02,4.090000152587891
control,marketing,0,0,0
control,marketing,511.24,532.05,20.809999465942383
treatment,treatment,205.94,214.35,8.40999984741211
treatment,treatment,156.7,43.09,-113.61000061035156
treatment,treatment,0,3100.86,3100.860107421875
control,control,510.59,125.98,-384.6099853515625
treatment,treatment,544.31,480.36,-63.95000076293945
control,control,298.52,310.67,12.149999618530273
treatment,treatment,285.82,5.82,-280
control,marketing,461.03,181.03,-280
control,control,50,0,-50
control,marketing,514.19,535.12,20.93000030517578
control,marketing,172.75,6940.77,6768.02001953125
control,control,505.55,315.88,-189.6699981689453
control,control,1066.66,990.21,-76.44999694824219
control,marketing,502.01,522.44,20.43000030517578
treatment,treatment,209.74,0,-209.74000549316406
control,control,989.1,49.1,-940
control,control,587.69,0,-587.69000244140625
control,control,506.91,226.91,-280
treatment,treatment,100.92,719.5,618.58001708984375
control,marketing,2084.02,826.93,-1257.0899658203125
control,control,940.22,0,-940.219970703125
control,marketing,317.4,284.5,-32.900001525878906
control,control,107.09,111.44,4.349999904632568
control,control,1162,0,-1162
treatment,treatment,110.18,100,-10.180000305175781
control,marketing,1874.35,1880.3,5.949999809265137
control,control,301.91,190.08,-111.83000183105469
treatment,treatment,480.69,0,-480.69000244140625
treatment,treatment,150.11,854.37,704.260009765625
control,marketing,461.55,181.55,-280
treatment,treatment,510.96,631.76,120.80000305175781
treatment,treatment,444.43,0,-444.42999267578125
control,marketing,187.05,31.08,-155.97000122070312
treatment,treatment,241.2,45.09,-196.11000061035156
control,marketing,1088.88,109.21,-979.66998291015625
control,control,1063.87,178.67,-885.20001220703125
treatment,treatment,2065.5,2096.93,31.43000030517578
control,marketing,507.61,528.28,20.670000076293945
control,marketing,594.37,629.36,34.9900016784668
treatment,treatment,1456.02,738.88,-717.1400146484375
treatment,treatment,123.76,160.46,36.70000076293945
control,control,37.62,0,-37.619998931884766
